Name,State,Total_Population,Hispanic_Latino,White_Alone,Black_Alone,Asian_Alone,Pacific_Islander_Alone,Total_Housing_Units,State_FIPS,Place_FIPS,Hispanic_Latino_Pct,White_Alone_Pct,Black_Alone_Pct,Asian_Alone_Pct,Pacific_Islander_Alone_Pct
"Moundville town, Alabama",Alabama,3024,50,1430,1445,6,0,1283,01,51648,1.65,47.29,47.78,0.2,0.0
"Mountain Brook city, Alabama",Alabama,22461,351,21241,91,239,0,8424,01,51696,1.56,94.57,0.41,1.06,0.0
"Mount Olive CDP (Jefferson County), Alabama",Alabama,4427,83,4029,117,19,1,1758,01,52344,1.87,91.01,2.64,0.43,0.02
"Mount Vernon town, Alabama",Alabama,1354,9,286,1004,0,1,634,01,52608,0.66,21.12,74.15,0.0,0.07
"Munford town, Alabama",Alabama,1351,12,1090,191,4,1,595,01,52848,0.89,80.68,14.14,0.3,0.07
"Muscle Shoals city, Alabama",Alabama,16275,602,11788,2802,284,1,7094,01,53016,3.7,72.43,17.22,1.75,0.01
"New Brockton town, Alabama",Alabama,1428,100,973,264,4,0,637,01,53856,7.0,68.14,18.49,0.28,0.0
"New Hope city, Alabama",Alabama,2889,91,2541,38,6,3,1286,01,54168,3.15,87.95,1.32,0.21,0.1
"New Market CDP, Alabama",Alabama,1543,89,1209,89,11,0,670,01,54312,5.77,78.35,5.77,0.71,0.0
"Newton town, Alabama",Alabama,1607,51,1282,182,8,2,734,01,54480,3.17,79.78,11.33,0.5,0.12
"New Union CDP, Alabama",Alabama,1019,69,886,5,2,0,432,01,54582,6.77,86.95,0.49,0.2,0.0
"Northport city, Alabama",Alabama,31125,2053,19876,7754,385,18,13382,01,55200,6.6,63.86,24.91,1.24,0.06
"Odenville city, Alabama",Alabama,4969,147,4025,456,21,0,1968,01,56400,2.96,81.0,9.18,0.42,0.0
"Ohatchee town, Alabama",Alabama,1157,16,1058,36,0,0,578,01,56472,1.38,91.44,3.11,0.0,0.0
"Oneonta city, Alabama",Alabama,6938,1175,5012,405,54,1,2858,01,57000,16.94,72.24,5.84,0.78,0.01
"Opelika city, Alabama",Alabama,30995,2407,14836,11947,692,14,13469,01,57048,7.77,47.87,38.54,2.23,0.05
"Opp city, Alabama",Alabama,6771,137,5091,1211,29,0,3133,01,57120,2.02,75.19,17.89,0.43,0.0
"Orange Beach city, Alabama",Alabama,8095,213,7373,85,57,1,14545,01,57144,2.63,91.08,1.05,0.7,0.01
"Owens Cross Roads town, Alabama",Alabama,2594,121,1992,201,29,4,1032,01,57504,4.66,76.79,7.75,1.12,0.15
"Oxford city, Alabama",Alabama,22069,1750,15309,3645,377,9,9313,01,57576,7.93,69.37,16.52,1.71,0.04
"Ozark city, Alabama",Alabama,14368,566,8147,4760,151,8,6814,01,57648,3.94,56.7,33.13,1.05,0.06
"Pelham city, Alabama",Alabama,24318,3649,15982,3103,594,17,9777,01,58848,15.01,65.72,12.76,2.44,0.07
"Pell City city, Alabama",Alabama,12939,306,9954,2017,140,1,5685,01,58896,2.36,76.93,15.59,1.08,0.01
"Phenix City city, Alabama",Alabama,38816,2311,15525,18795,366,61,17498,01,59472,5.95,40.0,48.42,0.94,0.16
"Piedmont city, Alabama",Alabama,4787,128,3970,445,17,5,2275,01,59640,2.67,82.93,9.3,0.36,0.1
"Pike Road town, Alabama",Alabama,9439,232,5385,2970,548,3,3415,01,59760,2.46,57.05,31.47,5.81,0.03
"Pine Level CDP, Alabama",Alabama,4885,105,4251,321,10,0,1830,01,60264,2.15,87.02,6.57,0.2,0.0
"Pinson city, Alabama",Alabama,7215,566,3982,2373,37,2,2963,01,60648,7.84,55.19,32.89,0.51,0.03
"Pleasant Grove city, Alabama",Alabama,9544,133,3252,5917,8,3,3777,01,61008,1.39,34.07,62.0,0.08,0.03
"Point Clear CDP, Alabama",Alabama,2076,47,1356,607,7,1,1162,01,61488,2.26,65.32,29.24,0.34,0.05
"Prattville city, Alabama",Alabama,37781,1516,25592,7906,856,19,15537,01,62328,4.01,67.74,20.93,2.27,0.05
"Priceville town, Alabama",Alabama,3512,112,3055,123,52,1,1377,01,62472,3.19,86.99,3.5,1.48,0.03
"Prichard city, Alabama",Alabama,19322,206,2234,16285,30,2,8934,01,62496,1.07,11.56,84.28,0.16,0.01
"Ragland town, Alabama",Alabama,1693,20,1378,180,2,0,762,01,63216,1.18,81.39,10.63,0.12,0.0
"Rainbow City city, Alabama",Alabama,10191,282,7984,1113,323,7,4700,01,63288,2.77,78.34,10.92,3.17,0.07
"Rainsville city, Alabama",Alabama,5505,259,4848,29,9,0,2427,01,63336,4.7,88.07,0.53,0.16,0.0
"Red Bay city, Alabama",Alabama,3232,177,2874,32,8,2,1531,01,63576,5.48,88.92,0.99,0.25,0.06
"Redland CDP, Alabama",Alabama,5106,136,3830,850,76,2,1946,01,63730,2.66,75.01,16.65,1.49,0.04
"Reform town, Alabama",Alabama,1520,33,651,782,0,0,751,01,64104,2.17,42.83,51.45,0.0,0.0
"Rehobeth town, Alabama",Alabama,1791,49,1535,99,8,0,667,01,64152,2.74,85.71,5.53,0.45,0.0
"Remlap CDP, Alabama",Alabama,2624,131,2314,38,8,1,1022,01,64248,4.99,88.19,1.45,0.3,0.04
"Riverside city, Alabama",Alabama,2227,53,1800,257,21,1,1024,01,64920,2.38,80.83,11.54,0.94,0.04
"Roanoke city, Alabama",Alabama,5311,83,2851,2136,43,0,2723,01,65040,1.56,53.68,40.22,0.81,0.0
"Robertsdale city, Alabama",Alabama,6708,503,5270,512,61,3,2703,01,65208,7.5,78.56,7.63,0.91,0.04
"Rock Creek CDP, Alabama",Alabama,1471,21,1350,31,0,2,609,01,65412,1.43,91.77,2.11,0.0,0.14
"Rogersville town, Alabama",Alabama,1286,33,1117,65,10,2,635,01,66216,2.57,86.86,5.05,0.78,0.16
"Russellville city, Alabama",Alabama,10855,4114,5515,870,29,0,4190,01,67056,37.9,50.81,8.01,0.27,0.0
"Saks CDP, Alabama",Alabama,9956,431,6523,2354,81,9,4564,01,67608,4.33,65.52,23.64,0.81,0.09
"Samson city, Alabama",Alabama,1874,233,1236,300,4,0,880,01,67800,12.43,65.96,16.01,0.21,0.0
"Saraland city, Alabama",Alabama,16171,311,12378,2261,189,6,6698,01,68160,1.92,76.54,13.98,1.17,0.04
"Sardis City town, Alabama",Alabama,1814,73,1666,3,8,0,754,01,68280,4.02,91.84,0.17,0.44,0.0
"Satsuma city, Alabama",Alabama,6749,85,5733,525,29,3,2683,01,68352,1.26,84.95,7.78,0.43,0.04
"Scottsboro city, Alabama",Alabama,15578,784,12981,761,130,0,7401,01,68736,5.03,83.33,4.89,0.83,0.0
"Selma city, Alabama",Alabama,17971,134,2573,14757,107,6,8946,01,69120,0.75,14.32,82.12,0.6,0.03
"Selmont-West Selmont CDP, Alabama",Alabama,2158,10,64,2040,0,0,1031,01,69180,0.46,2.97,94.53,0.0,0.0
"Semmes city, Alabama",Alabama,4941,223,3828,569,41,1,2155,01,69240,4.51,77.47,11.52,0.83,0.02
"Sheffield city, Alabama",Alabama,9403,348,6165,2350,54,2,4977,01,69648,3.7,65.56,24.99,0.57,0.02
"Shoal Creek CDP, Alabama",Alabama,1668,33,1489,58,34,0,700,01,69978,1.98,89.27,3.48,2.04,0.0
"Slocomb city, Alabama",Alabama,2082,144,1444,346,8,2,988,01,71040,6.92,69.36,16.62,0.38,0.1
"Smiths Station city, Alabama",Alabama,5384,219,3886,997,40,2,2254,01,71190,4.07,72.18,18.52,0.74,0.04
"Smoke Rise CDP, Alabama",Alabama,1661,24,1572,4,2,0,644,01,71201,1.44,94.64,0.24,0.12,0.0
"Snead town, Alabama",Alabama,1032,114,875,6,2,0,487,01,71280,11.05,84.79,0.58,0.19,0.0
"Southside city, Alabama",Alabama,9426,205,8525,221,74,0,3891,01,71832,2.17,90.44,2.34,0.79,0.0
"Spanish Fort city, Alabama",Alabama,10049,421,8295,610,179,7,4263,01,71976,4.19,82.55,6.07,1.78,0.07
"Springville city, Alabama",Alabama,4786,76,4332,205,19,0,1882,01,72600,1.59,90.51,4.28,0.4,0.0
"Stapleton CDP, Alabama",Alabama,2213,69,1934,43,14,0,885,01,72816,3.12,87.39,1.94,0.63,0.0
"Stevenson city, Alabama",Alabama,1955,71,1417,261,5,1,957,01,73080,3.63,72.48,13.35,0.26,0.05
"Stewartville CDP, Alabama",Alabama,1662,15,1533,60,0,0,832,01,73152,0.9,92.24,3.61,0.0,0.0
"Sulligent city, Alabama",Alabama,1879,9,1468,346,1,1,983,01,73728,0.48,78.13,18.41,0.05,0.05
"Sumiton city, Alabama",Alabama,2444,28,2167,112,17,0,1100,01,73848,1.15,88.67,4.58,0.7,0.0
"Summerdale town, Alabama",Alabama,1468,65,1242,55,15,1,634,01,73872,4.43,84.6,3.75,1.02,0.07
"Sylacauga city, Alabama",Alabama,12578,280,7457,4311,69,4,6051,01,74352,2.23,59.29,34.27,0.55,0.03
"Sylvania town, Alabama",Alabama,1790,204,1471,9,1,0,759,01,74400,11.4,82.18,0.5,0.06,0.0
"Sylvan Springs town, Alabama",Alabama,1653,30,1470,49,0,0,697,01,74424,1.81,88.93,2.96,0.0,0.0
"Talladega city, Alabama",Alabama,15861,458,6620,8247,75,5,6629,01,74592,2.89,41.74,52.0,0.47,0.03
"Tallassee city, Alabama",Alabama,4763,135,3277,1104,33,2,2195,01,74688,2.83,68.8,23.18,0.69,0.04
"Tarrant city, Alabama",Alabama,6124,1219,1523,3098,31,63,2770,01,74976,19.91,24.87,50.59,0.51,1.03
"Taylor town, Alabama",Alabama,2262,103,1843,204,7,2,926,01,75096,4.55,81.48,9.02,0.31,0.09
"Theodore CDP, Alabama",Alabama,6270,285,4186,1188,198,1,2678,01,75768,4.55,66.76,18.95,3.16,0.02
"Thomasville city, Alabama",Alabama,3649,32,1582,1937,15,0,1836,01,75960,0.88,43.35,53.08,0.41,0.0
"Thorsby town, Alabama",Alabama,2064,184,1700,112,7,1,821,01,76080,8.91,82.36,5.43,0.34,0.05
"Tidmore Bend CDP, Alabama",Alabama,1119,23,981,50,1,0,523,01,76208,2.06,87.67,4.47,0.09,0.0
"Tillmans Corner CDP, Alabama",Alabama,17731,920,11960,3193,647,7,7486,01,76320,5.19,67.45,18.01,3.65,0.04
"Town Creek town, Alabama",Alabama,1052,37,583,344,9,1,499,01,76584,3.52,55.42,32.7,0.86,0.1
"Triana town, Alabama",Alabama,2890,229,1118,1207,102,7,1180,01,76824,7.92,38.69,41.76,3.53,0.24
"Trinity town, Alabama",Alabama,2526,282,1873,223,5,0,1013,01,76872,11.16,74.15,8.83,0.2,0.0
"Troy city, Alabama",Alabama,17727,461,9054,7028,509,3,8266,01,76920,2.6,51.07,39.65,2.87,0.02
"Trussville city, Alabama",Alabama,26123,567,21171,2866,541,4,9492,01,76944,2.17,81.04,10.97,2.07,0.02
"Tuscaloosa city, Alabama",Alabama,99600,5438,47663,40867,2352,47,47465,01,77256,5.46,47.85,41.03,2.36,0.05
"Tuscumbia city, Alabama",Alabama,9054,228,6375,1991,16,0,4560,01,77280,2.52,70.41,21.99,0.18,0.0
"Tuskegee city, Alabama",Alabama,9395,106,171,8863,59,4,4603,01,77304,1.13,1.82,94.34,0.63,0.04
"Underwood-Petersville CDP, Alabama",Alabama,3051,83,2598,221,26,0,1415,01,77580,2.72,85.15,7.24,0.85,0.0
"Union Springs city, Alabama",Alabama,3358,412,318,2548,5,2,1719,01,77880,12.27,9.47,75.88,0.15,0.06
"Uniontown town, Alabama",Alabama,2107,11,162,1903,0,0,986,01,77904,0.52,7.69,90.32,0.0,0.0
"Valley city, Alabama",Alabama,10529,387,5711,3742,275,4,4910,01,78204,3.68,54.24,35.54,2.61,0.04
"Valley Grande city, Alabama",Alabama,4190,41,2766,1263,24,1,1788,01,78232,0.98,66.01,30.14,0.57,0.02
